绕	2010	rao4	100
戒	2008	jie4	100
缠	2008	chan2	100
溜	2006	liu1	100
否	1896	fou3	100
拜	2005	bai4	100
嘘	2003	xu1	100
枰	1982	ping2	100
赵	1981	zhao4	100
脏	1969	zang1	100
屏	1969	ping2	100
页	1962	ye4	100
范	1958	fan4	100
逃	1957	tao2	100
结	1948	jie2	100
馆	1948	guan3	100
领	1945	ling3	100
巨	1941	ju4	100
叶	1819	ye4	100
言	1932	yan2	100
梗	1930	geng3	100
转	1597	zhuan4	5
搂	1446	lou3	99
挠	1913	nao2	100
员	1541	yuan2	100
市	1902	shi4	100
伴	1901	ban4	100
剑	1893	jian4	100
哩	1501	li5	100
初	1887	chu1	100
啧	1885	ze2	100
利	1885	li4	100
针	1884	zhen1	100
微	1880	wei1	100
掐	1868	qia1	100
啵	1865	bo5	100
博	1860	bo2	100
漂	1379	piao1	95
虚	1855	xu1	100
巧	1855	qiao3	100
寻	1854	xun2	100
蠢	1852	chun3	100
托	1842	tuo1	100
朵	1837	duo3	100
逆	1837	ni4	100
骚	1836	sao1	100
层	1835	ceng2	100
何	1833	he2	100
磨	1832	mo2	100
局	1829	ju2	100
剁	1826	duo4	100
缘	1822	yuan2	100
般	1821	ban1	100
代	1814	dai4	100
诺	1806	nuo4	100
横	1256	heng2	97
均	1801	jun1	100
阿	1800	a1	100
肌	1797	ji1	100
东	1795	dong1	100
端	1788	duan1	100
宠	1788	chong3	100
税	1788	shui4	100
容	1785	rong2	100
斯	1779	si1	100
额	1773	e2	100
物	1773	wu4	100
丽	1770	li4	100
盐	1767	yan2	100
吴	1766	wu2	100
败	1765	bai4	100
稍	1764	shao1	100
咸	1764	xian2	100
摘	1759	zhai1	100
矣	1755	yi3	100
众	1754	zhong4	100
惊	1747	jing1	100
竟	1746	jing4	100
敲	1744	qiao1	100
嗲	1738	dia3	100
扎	2581	zha1	100
漏	1737	lou4	100
湖	1736	hu2	100
沉	1734	chen2	100
